CustomerKey,LastPurchaseDate,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,CustomerSegment,FirstName,LastName,Gender,AnnualIncome,Occupation,RecentOrders,RecentRevenue,PreviousOrders,PreviousRevenue,OrderFrequencyChange,RevenueChange,RecencyRisk,FrequencyRisk,RevenueRisk,HighValueRisk,ChurnRiskScore,ChurnRiskLevel,RevenueDeclineValue,RevenueAtRisk,PriorityScore
11028,2017-04-09,82,2,2853.3496,4,4,5,445,13,Champions,JILL,JIMENEZ,F,"$30,000 ",Clerical,1.0,742.35,0.0,0.0,0.0,0.0,10,0,0,5,15,Healthy,0.0,0.0,0.0
11029,2017-05-14,47,2,2929.3638000000005,5,4,5,545,14,Champions,JIMMY,MORENO,M,"$30,000 ",Clerical,1.0,770.3100000000001,0.0,0.0,0.0,0.0,0,0,0,5,5,Healthy,0.0,0.0,0.0
11030,2017-05-12,49,2,2831.058,5,4,5,545,14,Champions,BETHANY,YUAN,F,"$10,000 ",Clerical,1.0,759.6384,1.0,2071.4196,0.0,-0.6332764255006567,0,0,15,5,20,Monitor,1311.7812000000001,0.0,0.0
11031,2017-05-16,45,2,2839.0296000000003,5,4,5,545,14,Champions,THERESA,RAMOS,F,"$20,000 ",Skilled Manual,1.0,765.32,1.0,2073.7096,0.0,-0.630941574461535,0,0,15,5,20,Monitor,1308.3896,0.0,0.0
11032,2017-05-11,50,2,2954.5380000000005,5,4,5,545,14,Champions,DENISE,STONE,F,"$20,000 ",Skilled Manual,1.0,759.6384,1.0,2194.8996,0.0,-0.6539074497986149,0,0,15,5,20,Monitor,1435.2612000000001,0.0,0.0
11033,2017-05-08,53,2,2892.6622,4,4,5,445,13,Champions,JAIME,NATH,M,"$20,000 ",Skilled Manual,1.0,787.5984000000001,1.0,2105.0638000000004,0.0,-0.6258553303705094,0,0,15,5,20,Monitor,1317.4654000000003,0.0,0.0
11034,2017-05-13,48,2,2845.4382,5,4,5,545,14,Champions,EBONY,GONZALEZ,F,"$20,000 ",Skilled Manual,1.0,796.34,1.0,2049.0982,0.0,-0.6113705043516215,0,0,15,5,20,Monitor,1252.7581999999998,0.0,0.0
11035,2017-05-18,43,2,2832.7396000000003,5,4,5,545,14,Champions,WENDY,DOMINGUEZ,,"$10,000 ",Clerical,1.0,761.32,1.0,2071.4196,0.0,-0.632464615088126,0,0,15,5,20,Monitor,1310.0996,0.0,0.0
11036,2016-07-26,339,1,2105.0638000000004,1,1,4,114,6,Lost Customers,JENNIFER,RUSSELL,F,"$60,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,0,40,At Risk,0.0,0.0,0.0
11037,2016-07-24,341,1,2182.2782,1,1,4,114,6,Lost Customers,CHLOE,GARCIA,F,"$40,000 ",Clerical,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,0,40,At Risk,0.0,0.0,0.0
11038,2017-05-15,46,2,2813.7696,5,4,5,545,14,Champions,DIANA,HERNANDEZ,F,"$10,000 ",Clerical,1.0,742.35,1.0,2071.4196,0.0,-0.6416225857860958,0,0,15,5,20,Monitor,1329.0696000000003,0.0,0.0
11039,2017-05-14,47,2,3040.8864,5,4,5,545,14,Champions,MARC,MARTIN,M,"$30,000 ",Clerical,1.0,827.5984000000001,1.0,2213.288,0.0,-0.6260774015853336,0,0,15,5,20,Monitor,1385.6896,0.0,0.0
11040,2016-10-05,268,1,2133.3596,1,1,4,114,6,Lost Customers,JESSE,MURPHY,M,"$30,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,0,40,At Risk,0.0,0.0,0.0
11041,2016-07-18,347,1,2134.5782,1,1,4,114,6,Lost Customers,AMANDA,CARTER,F,"$60,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,0,40,At Risk,0.0,0.0,0.0
11042,2017-04-19,72,2,2861.8369,4,4,5,445,13,Champions,MEGAN,SANCHEZ,F,"$70,000 ",Skilled Manual,1.0,790.4173000000001,0.0,0.0,0.0,0.0,10,0,0,5,15,Healthy,0.0,0.0,0.0
11043,2017-02-19,131,2,60.2684,3,4,2,342,9,Needs Attention,NATHAN,SIMMONS,M,"$60,000 ",Skilled Manual,0.0,0.0,1.0,35.0,-1.0,-1.0,30,25,20,0,75,Critical,35.0,35.0,2625.0
11044,2017-05-11,50,2,2908.3982,5,4,5,545,14,Champions,ADAM,FLORES,M,"$20,000 ",Clerical,2.0,2908.3982,0.0,0.0,0.0,0.0,0,0,0,5,5,Healthy,0.0,0.0,0.0
11045,2017-05-01,60,2,141.6715,4,4,3,443,11,Loyal Customers,LEONARD,NARA,M,"$30,000 ",Skilled Manual,1.0,48.0673,0.0,0.0,0.0,0.0,0,0,0,0,0,Healthy,0.0,0.0,0.0
11046,2017-05-15,46,2,3015.8558000000003,5,4,5,545,14,Champions,CHRISTINE,YUAN,F,"$30,000 ",Skilled Manual,2.0,3015.8558000000003,0.0,0.0,0.0,0.0,0,0,0,5,5,Healthy,0.0,0.0,0.0
11047,2017-05-22,39,2,2933.7696,5,4,5,545,14,Champions,JACLYN,LU,F,"$30,000 ",Skilled Manual,2.0,2933.7696,0.0,0.0,0.0,0.0,0,0,0,5,5,Healthy,0.0,0.0,0.0
11048,2017-06-27,3,2,2908.5866,5,4,5,545,14,Champions,JEREMY,POWELL,M,"$30,000 ",Skilled Manual,2.0,2908.5865999999996,0.0,0.0,0.0,0.0,0,0,0,5,5,Healthy,0.0,0.0,0.0
11049,2017-05-01,60,2,96.52,4,4,2,442,10,Loyal Customers,CAROL,RAI,F,"$40,000 ",Clerical,1.0,16.55,0.0,0.0,0.0,0.0,0,0,0,0,0,Healthy,0.0,0.0,0.0
11050,2017-05-22,39,2,1652.9442,5,4,4,544,13,Champions,ALAN,ZHENG,M,"$30,000 ",Skilled Manual,1.0,775.9942,0.0,0.0,0.0,0.0,0,0,0,0,0,Healthy,0.0,0.0,0.0
11052,2016-11-28,214,2,4519.0724,2,4,5,245,11,At Risk,HEIDI,LOPEZ,F,"$40,000 ",Clerical,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11053,2016-07-21,344,1,2082.7424,1,1,4,114,6,Lost Customers,ANA,PRICE,F,"$60,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,0,40,At Risk,0.0,0.0,0.0
11054,2016-12-01,211,2,4577.138199999999,2,4,5,245,11,At Risk,DEANNA,MUNOZ,F,"$40,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11055,2016-12-09,203,2,4557.0838,2,4,5,245,11,At Risk,GILBERT,RAJE,M,"$40,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11056,2016-12-02,210,2,4596.6319,2,4,5,245,11,At Risk,MICHELE,NATH,F,"$40,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11057,2016-11-22,220,2,4464.479600000001,2,4,5,245,11,At Risk,CARL,ANDERSEN,M,"$70,000 ",Management,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11058,2016-12-06,206,2,4598.113800000001,2,4,5,245,11,At Risk,MARC,DIAZ,M,"$80,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11059,2016-09-17,286,3,179.1784,1,5,3,153,9,At Risk,ASHLEE,ANDERSEN,F,"$80,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,0,40,At Risk,0.0,0.0,0.0
11060,2016-12-27,185,2,4523.4296,2,4,5,245,11,At Risk,JON,ZHOU,M,"$80,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11061,2016-12-16,196,2,4520.4396,2,4,5,245,11,At Risk,TODD,GAO,M,"$80,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11062,2016-07-11,354,1,2126.7024,1,1,4,114,6,Lost Customers,NOAH,POWELL,M,"$40,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,0,40,At Risk,0.0,0.0,0.0
11063,2016-07-16,349,1,2155.3266,1,1,4,114,6,Lost Customers,ANGELA,MURPHY,F,"$40,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,0,40,At Risk,0.0,0.0,0.0
11064,2016-07-29,336,1,2069.0782,1,1,4,114,6,Lost Customers,CHASE,REED,M,"$40,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,0,40,At Risk,0.0,0.0,0.0
11065,2016-08-14,320,1,198.58,1,1,3,113,5,Lost Customers,JESSICA,HENDERSON,F,"$60,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,0,40,At Risk,0.0,0.0,0.0
11066,2017-03-22,100,2,87.1942,4,4,2,442,10,Loyal Customers,GRACE,BUTLER,F,"$70,000 ",Professional,0.0,0.0,1.0,37.6342,-1.0,-1.0,20,25,20,0,65,Critical,37.6342,37.6342,2446.223
11067,2017-02-19,131,1,10.27,3,1,1,311,5,Needs Attention,CALEB,CARTER,M,"$60,000 ",Professional,0.0,0.0,1.0,10.27,-1.0,-1.0,30,25,20,0,75,Critical,10.27,10.27,770.25
11068,2017-04-10,81,3,204.8362,4,5,3,453,12,Loyal Customers,TIFFANY,LIANG,F,"$80,000 ",Skilled Manual,1.0,99.82000000000001,1.0,29.96,0.0,2.3317757009345796,10,0,0,0,10,Healthy,0.0,0.0,0.0
11069,2016-12-06,206,2,4455.489600000001,2,4,5,245,11,At Risk,CAROLYN,NAVARRO,F,"$80,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11070,2016-12-28,184,2,4547.1682,2,4,5,245,11,At Risk,WILLIE,RAJI,M,"$80,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11071,2017-06-03,27,3,168.76,5,5,3,553,13,Loyal Customers,LINDA,SERRANO,F,"$80,000 ",Skilled Manual,1.0,81.95,0.0,0.0,0.0,0.0,0,0,0,0,0,Healthy,0.0,0.0,0.0
11072,2016-12-17,195,2,4581.399600000001,2,4,5,245,11,At Risk,CASEY,LUO,F,"$80,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11073,2017-02-22,128,3,231.4568,3,5,3,353,11,Needs Attention,AMY,YE,F,"$70,000 ",Skilled Manual,0.0,0.0,1.0,45.248400000000004,-1.0,-1.0,30,25,20,0,75,Critical,45.248400000000004,45.248400000000004,3393.63
11074,2016-11-28,214,3,139.1042,2,5,3,253,10,At Risk,LEVI,ARUN,M,"$70,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,0,40,At Risk,0.0,0.0,0.0
11075,2016-12-26,186,2,4470.1182,2,4,5,245,11,At Risk,FELICIA,JIMENEZ,F,"$80,000 ",Professional,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11076,2016-12-23,189,2,4510.479600000001,2,4,5,245,11,At Risk,BLAKE,ANDERSON,M,"$80,000 ",Professional,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11077,2016-12-14,198,2,4545.4696,2,4,5,245,11,At Risk,LEAH,YE,F,"$80,000 ",Professional,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11078,2017-06-27,3,16,991.2692,5,5,3,553,13,Loyal Customers,GINA,MARTIN,F,"$40,000 ",Professional,4.0,191.5442,3.0,227.14000000000001,0.3333333333333333,-0.1567130404156028,0,0,5,0,5,Healthy,35.595800000000025,0.0,0.0
11079,2017-03-03,119,2,84.2084,3,4,2,342,9,Needs Attention,DONALD,GONZALEZ,M,"$160,000 ",Management,0.0,0.0,1.0,54.2384,-1.0,-1.0,20,25,20,0,65,Critical,54.2384,54.2384,3525.496
11080,2016-12-25,187,2,4582.1811,2,4,5,245,11,At Risk,DAMIEN,CHANDER,M,"$170,000 ",Management,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11081,2016-10-15,258,2,116.5484,1,4,2,142,7,At Risk,SAVANNAH,BAKER,F,"$120,000 ",Management,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,0,40,At Risk,0.0,0.0,0.0
11082,2017-05-09,52,2,2896.5144,4,4,5,445,13,Champions,ANGELA,BUTLER,,"$130,000 ",Management,1.0,812.4162,0.0,0.0,0.0,0.0,0,0,0,5,5,Healthy,0.0,0.0,0.0
11083,2017-05-11,50,2,2887.4038000000005,5,4,5,545,14,Champions,ALYSSA,COX,F,"$130,000 ",Management,1.0,742.35,0.0,0.0,0.0,0.0,0,0,0,5,5,Healthy,0.0,0.0,0.0
11084,2017-05-24,37,2,2846.3096,5,4,5,545,14,Champions,LUCAS,PHILLIPS,M,"$80,000 ",Skilled Manual,1.0,770.3100000000001,0.0,0.0,0.0,0.0,0,0,0,5,5,Healthy,0.0,0.0,0.0
11085,2017-06-08,22,1,78.6242,5,1,2,512,8,Potential Loyalists,EMILY,JOHNSON,F,"$60,000 ",Professional,1.0,78.6242,0.0,0.0,0.0,0.0,0,0,0,0,0,Healthy,0.0,0.0,0.0
11086,2017-06-23,7,2,185.7577,5,4,3,543,12,Loyal Customers,RYAN,BROWN,M,"$70,000 ",Professional,1.0,125.7204,1.0,60.0373,0.0,1.0940382062484488,0,0,0,0,0,Healthy,0.0,0.0,0.0
11087,2017-02-10,140,2,206.56,3,4,3,343,10,Needs Attention,TAMARA,LIANG,F,"$70,000 ",Professional,0.0,0.0,1.0,39.58,-1.0,-1.0,30,25,20,0,75,Critical,39.58,39.58,2968.5
11089,2017-05-21,40,2,2968.7438999999995,5,4,5,545,14,Champions,ABIGAIL,PRICE,F,"$80,000 ",Management,1.0,842.0415,0.0,0.0,0.0,0.0,0,0,0,5,5,Healthy,0.0,0.0,0.0
11090,2017-05-24,37,3,6497.737,5,5,5,555,15,Champions,TREVOR,BRYANT,M,"$90,000 ",Professional,1.0,768.2826,0.0,0.0,0.0,0.0,0,0,0,5,5,Healthy,0.0,0.0,0.0
11091,2017-06-23,7,26,1513.1358,5,5,4,554,14,Champions,DALTON,PEREZ,M,"$90,000 ",Professional,7.0,436.82620000000003,6.0,408.3657,0.16666666666666666,0.06969365938422356,0,0,0,0,0,Healthy,0.0,0.0,0.0
11092,2016-12-23,189,2,4517.4296,2,4,5,245,11,At Risk,CHERYL,DIAZ,F,"$90,000 ",Professional,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11093,2016-12-10,202,2,4572.7324,2,4,5,245,11,At Risk,AIMEE,HE,F,"$100,000 ",Management,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11094,2017-02-22,128,2,198.82,3,4,3,343,10,Needs Attention,CEDRIC,MA,M,"$70,000 ",Skilled Manual,0.0,0.0,1.0,143.85,-1.0,-1.0,30,25,20,0,75,Critical,143.85,143.85,10788.75
11095,2016-12-27,185,2,4550.7624,2,4,5,245,11,At Risk,CHAD,KUMAR,M,"$70,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11096,2017-01-31,150,2,4441.812400000001,3,4,5,345,12,Needs Attention,ANDRÉS,ANAND,M,"$60,000 ",Professional,0.0,0.0,1.0,2392.7142000000003,-1.0,-1.0,30,25,20,5,80,Critical,2392.7142000000003,2392.7142000000003,191417.13600000003
11097,2017-01-25,156,2,4488.138199999999,3,4,5,345,12,Needs Attention,EDWIN,NARA,M,"$60,000 ",Skilled Manual,0.0,0.0,1.0,2419.06,-1.0,-1.0,30,25,20,5,80,Critical,2419.06,2419.06,193524.8
11098,2017-04-18,73,3,148.92,4,5,3,453,12,Loyal Customers,MALLORY,RUBIO,F,"$60,000 ",Skilled Manual,1.0,9.98,1.0,53.99,0.0,-0.8151509538803483,10,0,20,0,30,Monitor,44.010000000000005,0.0,0.0
11099,2017-01-02,179,2,4595.0682,3,4,5,345,12,Needs Attention,ADAM,ROSS,M,"$60,000 ",Professional,0.0,0.0,1.0,2457.03,-1.0,-1.0,30,25,20,5,80,Critical,2457.03,2457.03,196562.40000000002
11100,2017-02-08,142,2,4585.5358,3,4,5,345,12,Needs Attention,LATASHA,NAVARRO,F,"$60,000 ",Skilled Manual,0.0,0.0,1.0,2412.03,-1.0,-1.0,30,25,20,5,80,Critical,2412.03,2412.03,192962.40000000002
11101,2016-12-31,181,2,4674.0939,2,4,5,245,11,At Risk,ABBY,SAI,F,"$70,000 ",Professional,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11102,2017-06-11,19,3,150.82999999999998,5,5,3,553,13,Loyal Customers,JULIA,NELSON,F,"$80,000 ",Professional,2.0,134.93,1.0,15.9,1.0,7.486163522012578,0,0,0,0,0,Healthy,0.0,0.0,0.0
11103,2016-12-08,204,2,4599.2044000000005,2,4,5,245,11,At Risk,CASSIE,CHANDE,F,"$70,000 ",Professional,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11104,2016-12-17,195,2,4537.128199999999,2,4,5,245,11,At Risk,EDGAR,SARA,M,"$70,000 ",Professional,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11105,2016-12-07,205,2,4458.0582,2,4,5,245,11,At Risk,CANDACE,FERNANDEZ,F,"$70,000 ",Professional,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11106,2016-12-17,195,2,4433.1682,2,4,5,245,11,At Risk,JESSIE,LIU,M,"$70,000 ",Professional,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11107,2016-12-23,189,2,4588.718000000001,2,4,5,245,11,At Risk,BIANCA,LIN,F,"$90,000 ",Professional,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11108,2016-12-25,187,2,4501.812400000001,2,4,5,245,11,At Risk,KARI,ALVAREZ,F,"$70,000 ",Professional,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11109,2016-12-26,186,2,4659.3966,2,4,5,245,11,At Risk,RUBEN,KAPOOR,M,"$70,000 ",Professional,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
11110,2017-02-21,129,2,4456.138199999999,3,4,5,345,12,Needs Attention,CURTIS,YANG,M,"$60,000 ",Skilled Manual,0.0,0.0,1.0,2407.04,-1.0,-1.0,30,25,20,5,80,Critical,2407.04,2407.04,192563.2
11111,2017-02-23,127,2,4544.722400000001,3,4,5,345,12,Needs Attention,MEREDITH,GUTIERREZ,F,"$60,000 ",Skilled Manual,0.0,0.0,1.0,2452.03,-1.0,-1.0,30,25,20,5,80,Critical,2452.03,2452.03,196162.40000000002
11112,2017-03-05,117,2,4693.4396,3,4,5,345,12,Needs Attention,CRYSTAL,WANG,F,"$60,000 ",Skilled Manual,0.0,0.0,1.0,2419.06,-1.0,-1.0,20,25,20,5,70,Critical,2419.06,2419.06,169334.19999999998
11113,2016-10-23,250,3,161.4442,2,5,3,253,10,At Risk,MICHEAL,BLANCO,M,"$70,000 ",Professional,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,0,40,At Risk,0.0,0.0,0.0
11114,2017-06-28,2,3,170.8,5,5,3,553,13,Loyal Customers,LESLIE,MORENO,F,"$70,000 ",Skilled Manual,1.0,99.94,1.0,54.96000000000001,0.0,0.818413391557496,0,0,0,0,0,Healthy,0.0,0.0,0.0
11115,2017-06-24,6,2,70.46,5,4,2,542,11,Loyal Customers,ALVIN,CAI,M,"$70,000 ",Skilled Manual,1.0,15.9,0.0,0.0,0.0,0.0,0,0,0,0,0,Healthy,0.0,0.0,0.0
11116,2017-04-18,73,3,158.94,4,5,3,453,12,Loyal Customers,CLINTON,CARLSON,M,"$70,000 ",Skilled Manual,1.0,15.9,1.0,113.47,0.0,-0.859874856790341,10,0,20,0,30,Monitor,97.57,0.0,0.0
11117,2016-12-27,185,2,4571.698,2,4,5,245,11,At Risk,APRIL,DENG,F,"$70,000 ",Skilled Manual,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,5,45,At Risk,0.0,0.0,0.0
