CustomerKey,LastPurchaseDate,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,CustomerSegment,FirstName,LastName,Gender,AnnualIncome,Occupation
11018,2017-04-26,65,2,2919.3338000000003,4,4,5,445,13,Champions,CLARENCE,RAI,M,"$30,000 ",Clerical
11019,2017-06-12,18,15,961.9158,5,5,3,553,13,Loyal Customers,LUKE,LAL,M,"$40,000 ",Skilled Manual
11020,2016-07-02,363,1,2093.0582,1,1,4,114,6,Lost Customers,JORDAN,KING,M,"$40,000 ",Skilled Manual
11021,2016-07-27,338,1,2148.0481999999997,1,1,4,114,6,Lost Customers,DESTINY,WILSON,F,"$40,000 ",Skilled Manual
11022,2016-07-24,341,1,2073.7096,1,1,4,114,6,Lost Customers,ETHAN,ZHANG,M,"$40,000 ",Skilled Manual
11023,2016-08-21,313,1,142.93,1,1,3,113,5,Lost Customers,SETH,EDWARDS,M,"$40,000 ",Skilled Manual
11024,2017-01-27,154,2,78.02000000000001,3,4,2,342,9,Needs Attention,RUSSELL,XIE,M,"$60,000 ",Skilled Manual
11025,2017-04-27,64,2,2975.2196000000004,4,4,5,445,13,Champions,ALEJANDRO,BECK,,"$10,000 ",Clerical
11026,2017-04-17,74,2,2988.8058,4,4,5,445,13,Champions,HAROLD,SAI,M,"$30,000 ",Clerical
11027,2017-04-26,65,2,2998.9008,4,4,5,445,13,Champions,JESSIE,ZHAO,M,"$30,000 ",Clerical
11028,2017-04-09,82,2,2853.3496,4,4,5,445,13,Champions,JILL,JIMENEZ,F,"$30,000 ",Clerical
11029,2017-05-14,47,2,2929.3638000000005,5,4,5,545,14,Champions,JIMMY,MORENO,M,"$30,000 ",Clerical
11030,2017-05-12,49,2,2831.058,5,4,5,545,14,Champions,BETHANY,YUAN,F,"$10,000 ",Clerical
11031,2017-05-16,45,2,2839.0296000000003,5,4,5,545,14,Champions,THERESA,RAMOS,F,"$20,000 ",Skilled Manual
11032,2017-05-11,50,2,2954.5380000000005,5,4,5,545,14,Champions,DENISE,STONE,F,"$20,000 ",Skilled Manual
11033,2017-05-08,53,2,2892.6622,4,4,5,445,13,Champions,JAIME,NATH,M,"$20,000 ",Skilled Manual
11034,2017-05-13,48,2,2845.4382,5,4,5,545,14,Champions,EBONY,GONZALEZ,F,"$20,000 ",Skilled Manual
11035,2017-05-18,43,2,2832.7396000000003,5,4,5,545,14,Champions,WENDY,DOMINGUEZ,,"$10,000 ",Clerical
11036,2016-07-26,339,1,2105.0638000000004,1,1,4,114,6,Lost Customers,JENNIFER,RUSSELL,F,"$60,000 ",Skilled Manual
11037,2016-07-24,341,1,2182.2781999999997,1,1,4,114,6,Lost Customers,CHLOE,GARCIA,F,"$40,000 ",Clerical
11038,2017-05-15,46,2,2813.7696,5,4,5,545,14,Champions,DIANA,HERNANDEZ,F,"$10,000 ",Clerical
11039,2017-05-14,47,2,3040.8864,5,4,5,545,14,Champions,MARC,MARTIN,M,"$30,000 ",Clerical
11040,2016-10-05,268,1,2133.3596000000002,1,1,4,114,6,Lost Customers,JESSE,MURPHY,M,"$30,000 ",Skilled Manual
11041,2016-07-18,347,1,2134.5782,1,1,4,114,6,Lost Customers,AMANDA,CARTER,F,"$60,000 ",Skilled Manual
11042,2017-04-19,72,2,2861.8369000000002,4,4,5,445,13,Champions,MEGAN,SANCHEZ,F,"$70,000 ",Skilled Manual
11043,2017-02-19,131,2,60.2684,3,4,2,342,9,Needs Attention,NATHAN,SIMMONS,M,"$60,000 ",Skilled Manual
11044,2017-05-11,50,2,2908.3982,5,4,5,545,14,Champions,ADAM,FLORES,M,"$20,000 ",Clerical
11045,2017-05-01,60,2,141.6715,4,4,3,443,11,Loyal Customers,LEONARD,NARA,M,"$30,000 ",Skilled Manual
11046,2017-05-15,46,2,3015.8558000000003,5,4,5,545,14,Champions,CHRISTINE,YUAN,F,"$30,000 ",Skilled Manual
11047,2017-05-22,39,2,2933.7696,5,4,5,545,14,Champions,JACLYN,LU,F,"$30,000 ",Skilled Manual
11048,2017-06-27,3,2,2908.5865999999996,5,4,5,545,14,Champions,JEREMY,POWELL,M,"$30,000 ",Skilled Manual
11049,2017-05-01,60,2,96.52000000000001,4,4,2,442,10,Loyal Customers,CAROL,RAI,F,"$40,000 ",Clerical
11050,2017-05-22,39,2,1652.9442,5,4,4,544,13,Champions,ALAN,ZHENG,M,"$30,000 ",Skilled Manual
11052,2016-11-28,214,2,4519.0724,2,4,5,245,11,At Risk,HEIDI,LOPEZ,F,"$40,000 ",Clerical
11053,2016-07-21,344,1,2082.7424,1,1,4,114,6,Lost Customers,ANA,PRICE,F,"$60,000 ",Skilled Manual
11054,2016-12-01,211,2,4577.138199999999,2,4,5,245,11,At Risk,DEANNA,MUNOZ,F,"$40,000 ",Skilled Manual
11055,2016-12-09,203,2,4557.0838,2,4,5,245,11,At Risk,GILBERT,RAJE,M,"$40,000 ",Skilled Manual
11056,2016-12-02,210,2,4596.6319,2,4,5,245,11,At Risk,MICHELE,NATH,F,"$40,000 ",Skilled Manual
11057,2016-11-22,220,2,4464.479600000001,2,4,5,245,11,At Risk,CARL,ANDERSEN,M,"$70,000 ",Management
11058,2016-12-06,206,2,4598.113800000001,2,4,5,245,11,At Risk,MARC,DIAZ,M,"$80,000 ",Skilled Manual
11059,2016-09-17,286,3,179.1784,1,5,3,153,9,At Risk,ASHLEE,ANDERSEN,F,"$80,000 ",Skilled Manual
11060,2016-12-27,185,2,4523.4296,2,4,5,245,11,At Risk,JON,ZHOU,M,"$80,000 ",Skilled Manual
11061,2016-12-16,196,2,4520.4396,2,4,5,245,11,At Risk,TODD,GAO,M,"$80,000 ",Skilled Manual
11062,2016-07-11,354,1,2126.7024,1,1,4,114,6,Lost Customers,NOAH,POWELL,M,"$40,000 ",Skilled Manual
11063,2016-07-16,349,1,2155.3266,1,1,4,114,6,Lost Customers,ANGELA,MURPHY,F,"$40,000 ",Skilled Manual
11064,2016-07-29,336,1,2069.0782,1,1,4,114,6,Lost Customers,CHASE,REED,M,"$40,000 ",Skilled Manual
11065,2016-08-14,320,1,198.58,1,1,3,113,5,Lost Customers,JESSICA,HENDERSON,F,"$60,000 ",Skilled Manual
11066,2017-03-22,100,2,87.1942,4,4,2,442,10,Loyal Customers,GRACE,BUTLER,F,"$70,000 ",Professional
11067,2017-02-19,131,1,10.27,3,1,1,311,5,Needs Attention,CALEB,CARTER,M,"$60,000 ",Professional
11068,2017-04-10,81,3,204.83620000000002,4,5,3,453,12,Loyal Customers,TIFFANY,LIANG,F,"$80,000 ",Skilled Manual
11069,2016-12-06,206,2,4455.489600000001,2,4,5,245,11,At Risk,CAROLYN,NAVARRO,F,"$80,000 ",Skilled Manual
11070,2016-12-28,184,2,4547.1682,2,4,5,245,11,At Risk,WILLIE,RAJI,M,"$80,000 ",Skilled Manual
11071,2017-06-03,27,3,168.76,5,5,3,553,13,Loyal Customers,LINDA,SERRANO,F,"$80,000 ",Skilled Manual
11072,2016-12-17,195,2,4581.399600000001,2,4,5,245,11,At Risk,CASEY,LUO,F,"$80,000 ",Skilled Manual
11073,2017-02-22,128,3,231.4568,3,5,3,353,11,Needs Attention,AMY,YE,F,"$70,000 ",Skilled Manual
11074,2016-11-28,214,3,139.1042,2,5,3,253,10,At Risk,LEVI,ARUN,M,"$70,000 ",Skilled Manual
11075,2016-12-26,186,2,4470.1182,2,4,5,245,11,At Risk,FELICIA,JIMENEZ,F,"$80,000 ",Professional
11076,2016-12-23,189,2,4510.479600000001,2,4,5,245,11,At Risk,BLAKE,ANDERSON,M,"$80,000 ",Professional
11077,2016-12-14,198,2,4545.4696,2,4,5,245,11,At Risk,LEAH,YE,F,"$80,000 ",Professional
11078,2017-06-27,3,16,991.2692,5,5,3,553,13,Loyal Customers,GINA,MARTIN,F,"$40,000 ",Professional
11079,2017-03-03,119,2,84.2084,3,4,2,342,9,Needs Attention,DONALD,GONZALEZ,M,"$160,000 ",Management
11080,2016-12-25,187,2,4582.1811,2,4,5,245,11,At Risk,DAMIEN,CHANDER,M,"$170,000 ",Management
11081,2016-10-15,258,2,116.5484,1,4,2,142,7,At Risk,SAVANNAH,BAKER,F,"$120,000 ",Management
11082,2017-05-09,52,2,2896.5144,4,4,5,445,13,Champions,ANGELA,BUTLER,,"$130,000 ",Management
11083,2017-05-11,50,2,2887.4038000000005,5,4,5,545,14,Champions,ALYSSA,COX,F,"$130,000 ",Management
11084,2017-05-24,37,2,2846.3096,5,4,5,545,14,Champions,LUCAS,PHILLIPS,M,"$80,000 ",Skilled Manual
11085,2017-06-08,22,1,78.6242,5,1,2,512,8,Potential Loyalists,EMILY,JOHNSON,F,"$60,000 ",Professional
11086,2017-06-23,7,2,185.7577,5,4,3,543,12,Loyal Customers,RYAN,BROWN,M,"$70,000 ",Professional
11087,2017-02-10,140,2,206.56,3,4,3,343,10,Needs Attention,TAMARA,LIANG,F,"$70,000 ",Professional
11089,2017-05-21,40,2,2968.7438999999995,5,4,5,545,14,Champions,ABIGAIL,PRICE,F,"$80,000 ",Management
11090,2017-05-24,37,3,6497.737,5,5,5,555,15,Champions,TREVOR,BRYANT,M,"$90,000 ",Professional
11091,2017-06-23,7,26,1513.1358,5,5,4,554,14,Champions,DALTON,PEREZ,M,"$90,000 ",Professional
11092,2016-12-23,189,2,4517.4296,2,4,5,245,11,At Risk,CHERYL,DIAZ,F,"$90,000 ",Professional
11093,2016-12-10,202,2,4572.7324,2,4,5,245,11,At Risk,AIMEE,HE,F,"$100,000 ",Management
11094,2017-02-22,128,2,198.82,3,4,3,343,10,Needs Attention,CEDRIC,MA,M,"$70,000 ",Skilled Manual
11095,2016-12-27,185,2,4550.7624,2,4,5,245,11,At Risk,CHAD,KUMAR,M,"$70,000 ",Skilled Manual
11096,2017-01-31,150,2,4441.812400000001,3,4,5,345,12,Needs Attention,ANDRÉS,ANAND,M,"$60,000 ",Professional
11097,2017-01-25,156,2,4488.138199999999,3,4,5,345,12,Needs Attention,EDWIN,NARA,M,"$60,000 ",Skilled Manual
11098,2017-04-18,73,3,148.92,4,5,3,453,12,Loyal Customers,MALLORY,RUBIO,F,"$60,000 ",Skilled Manual
11099,2017-01-02,179,2,4595.0682,3,4,5,345,12,Needs Attention,ADAM,ROSS,M,"$60,000 ",Professional
11100,2017-02-08,142,2,4585.5358,3,4,5,345,12,Needs Attention,LATASHA,NAVARRO,F,"$60,000 ",Skilled Manual
11101,2016-12-31,181,2,4674.0939,2,4,5,245,11,At Risk,ABBY,SAI,F,"$70,000 ",Professional
11102,2017-06-11,19,3,150.82999999999998,5,5,3,553,13,Loyal Customers,JULIA,NELSON,F,"$80,000 ",Professional
11103,2016-12-08,204,2,4599.2044000000005,2,4,5,245,11,At Risk,CASSIE,CHANDE,F,"$70,000 ",Professional
11104,2016-12-17,195,2,4537.128199999999,2,4,5,245,11,At Risk,EDGAR,SARA,M,"$70,000 ",Professional
11105,2016-12-07,205,2,4458.0581999999995,2,4,5,245,11,At Risk,CANDACE,FERNANDEZ,F,"$70,000 ",Professional
11106,2016-12-17,195,2,4433.1682,2,4,5,245,11,At Risk,JESSIE,LIU,M,"$70,000 ",Professional
11107,2016-12-23,189,2,4588.718000000001,2,4,5,245,11,At Risk,BIANCA,LIN,F,"$90,000 ",Professional
11108,2016-12-25,187,2,4501.812400000001,2,4,5,245,11,At Risk,KARI,ALVAREZ,F,"$70,000 ",Professional
11109,2016-12-26,186,2,4659.3966,2,4,5,245,11,At Risk,RUBEN,KAPOOR,M,"$70,000 ",Professional
11110,2017-02-21,129,2,4456.138199999999,3,4,5,345,12,Needs Attention,CURTIS,YANG,M,"$60,000 ",Skilled Manual
11111,2017-02-23,127,2,4544.722400000001,3,4,5,345,12,Needs Attention,MEREDITH,GUTIERREZ,F,"$60,000 ",Skilled Manual
11112,2017-03-05,117,2,4693.4396,3,4,5,345,12,Needs Attention,CRYSTAL,WANG,F,"$60,000 ",Skilled Manual
11113,2016-10-23,250,3,161.4442,2,5,3,253,10,At Risk,MICHEAL,BLANCO,M,"$70,000 ",Professional
11114,2017-06-28,2,3,170.8,5,5,3,553,13,Loyal Customers,LESLIE,MORENO,F,"$70,000 ",Skilled Manual
11115,2017-06-24,6,2,70.46,5,4,2,542,11,Loyal Customers,ALVIN,CAI,M,"$70,000 ",Skilled Manual
11116,2017-04-18,73,3,158.94,4,5,3,453,12,Loyal Customers,CLINTON,CARLSON,M,"$70,000 ",Skilled Manual
11117,2016-12-27,185,2,4571.698,2,4,5,245,11,At Risk,APRIL,DENG,F,"$70,000 ",Skilled Manual
11118,2017-05-13,48,2,196.7,5,4,3,543,12,Loyal Customers,ALVIN,ZENG,M,"$80,000 ",Skilled Manual
11119,2017-05-26,35,2,126.4773,5,4,3,543,12,Loyal Customers,EVAN,JAMES,M,"$30,000 ",Clerical
11121,2017-05-07,54,3,88.37,4,5,2,452,11,Loyal Customers,ORLANDO,SUAREZ,M,"$70,000 ",Skilled Manual
11122,2017-02-23,127,3,85.85999999999999,3,5,2,352,10,Needs Attention,BYRON,VAZQUEZ,M,"$70,000 ",Skilled Manual
11123,2017-04-17,74,2,99.71000000000001,4,4,2,442,10,Loyal Customers,PHILIP,ALVAREZ,M,"$70,000 ",Skilled Manual
11124,2016-12-20,192,2,4496.7724,2,4,5,245,11,At Risk,ROSS,JORDAN,M,"$80,000 ",Skilled Manual
11125,2017-01-04,177,3,141.8981,3,5,3,353,11,Needs Attention,DANA,NAVARRO,F,"$70,000 ",Skilled Manual
11126,2017-05-06,55,2,1625.6399999999999,4,4,4,444,12,Champions,SHAUN,CARSON,M,"$10,000 ",Skilled Manual
11127,2017-04-03,88,2,52.96,4,4,1,441,9,Loyal Customers,JAN,EDWARDS,F,"$40,000 ",Skilled Manual
11128,2017-02-13,137,2,164.63150000000002,3,4,3,343,10,Needs Attention,SAMANTHA,LONG,F,"$40,000 ",Skilled Manual
11129,2016-07-13,352,2,5627.3682,1,4,5,145,10,At Risk,JULIA,WRIGHT,F,"$40,000 ",Skilled Manual
11130,2017-06-11,19,1,37.29,5,1,1,511,7,Potential Loyalists,CAROLINE,RUSSELL,F,"$30,000 ",Skilled Manual
11131,2017-06-24,6,4,211.7926,5,5,3,553,13,Loyal Customers,AMANDA,RIVERA,F,"$30,000 ",Skilled Manual
11132,2016-10-11,262,1,2189.9782,1,1,4,114,6,Lost Customers,MELISSA,RICHARDSON,F,"$30,000 ",Skilled Manual
11134,2017-05-06,55,2,1511.8400000000001,4,4,4,444,12,Champions,LARRY,TOWNSEND,M,"$10,000 ",Skilled Manual
11135,2016-10-20,253,1,2101.3796,2,1,4,214,7,Lost Customers,MARCUS,HARRIS,M,"$30,000 ",Clerical
11136,2016-07-07,358,1,2156.5582,1,1,4,114,6,Lost Customers,BRIANNA,MORGAN,F,"$40,000 ",Skilled Manual
11137,2017-02-01,149,1,198.58,3,1,3,313,7,Needs Attention,JASMINE,TAYLOR,F,"$40,000 ",Skilled Manual
11138,2017-03-22,100,1,37.6342,4,1,1,411,6,Potential Loyalists,LAUREN,DAVIS,F,"$40,000 ",Skilled Manual
11139,2017-04-19,72,2,115.3357,4,4,2,442,10,Loyal Customers,TANYA,MORENO,F,"$30,000 ",Clerical
11140,2016-09-20,283,1,44.980000000000004,1,1,1,111,3,Lost Customers,JAVIER,ALVAREZ,M,"$30,000 ",Clerical
11141,2017-03-31,91,2,126.58420000000001,4,4,3,443,11,Loyal Customers,NICOLE,RAMIREZ,F,"$40,000 ",Skilled Manual
11142,2017-06-18,12,15,1117.2504,5,5,4,554,14,Champions,EDUARDO,PATTERSON,M,"$40,000 ",Skilled Manual
11143,2017-06-21,9,2,67.11,5,4,2,542,11,Loyal Customers,JONATHAN,HENDERSON,M,"$40,000 ",Skilled Manual
11144,2016-07-29,336,1,2152.1555,1,1,4,114,6,Lost Customers,EDWARD,HERNANDEZ,M,"$40,000 ",Skilled Manual
11145,2016-07-29,336,1,2079.0582,1,1,4,114,6,Lost Customers,JASMINE,COLEMAN,F,"$40,000 ",Skilled Manual
11146,2017-03-18,104,3,171.1784,4,5,3,453,12,Loyal Customers,KARLA,GOEL,F,"$40,000 ",Management
11147,2017-04-18,73,2,4615.18,4,4,5,445,13,Champions,ERNEST,WU,M,"$60,000 ",Management
11148,2017-06-05,25,3,183.5,5,5,3,553,13,Loyal Customers,ROSS,VAZQUEZ,M,"$40,000 ",Management
11149,2017-06-01,29,3,101.82839999999999,5,5,2,552,12,Loyal Customers,THEODORE,GILL,M,"$40,000 ",Management
11150,2017-01-16,165,3,256.9488,3,5,3,353,11,Needs Attention,RUSSELL,SHEN,M,"$40,000 ",Management
11151,2017-04-22,69,2,4498.9966,4,4,5,445,13,Champions,MELINDA,GILL,F,"$60,000 ",Management
11152,2016-07-13,352,1,2049.0982,1,1,4,114,6,Lost Customers,JAMES,WILLIAMS,M,"$40,000 ",Skilled Manual
11153,2016-09-30,273,2,126.03,1,4,3,143,8,At Risk,ANGELA,JAMES,F,"$40,000 ",Skilled Manual
11154,2016-07-14,351,1,2071.4196,1,1,4,114,6,Lost Customers,MEGAN,WALKER,F,"$40,000 ",Skilled Manual
11155,2016-07-10,355,1,2071.4196,1,1,4,114,6,Lost Customers,HUNTER,ROBINSON,M,"$40,000 ",Skilled Manual
11156,2016-07-12,353,1,2144.0782,1,1,4,114,6,Lost Customers,MARIA,ROBERTS,F,"$40,000 ",Skilled Manual
11157,2017-03-14,108,2,47.56,4,4,1,441,9,Loyal Customers,HANNAH,LONG,F,"$40,000 ",Skilled Manual
11158,2016-07-23,342,1,2169.3696,1,1,4,114,6,Lost Customers,JASON,WRIGHT,M,"$40,000 ",Skilled Manual
11159,2017-05-10,51,2,60.42,5,4,2,542,11,Loyal Customers,BRIANNA,HUGHES,F,"$40,000 ",Skilled Manual
11160,2016-08-25,309,1,2073.7096,1,1,4,114,6,Lost Customers,MAURICE,TANG,M,"$40,000 ",Skilled Manual
11161,2017-05-14,47,2,116.5642,5,4,2,542,11,Loyal Customers,EMILY,WOOD,F,"$40,000 ",Skilled Manual
11162,2016-08-22,312,1,2082.7424,1,1,4,114,6,Lost Customers,CHASE,COX,M,"$40,000 ",Skilled Manual
11163,2017-02-06,144,2,62.53,3,4,2,342,9,Needs Attention,GABRIEL,WANG,M,"$40,000 ",Skilled Manual
11164,2017-02-06,144,2,156.03,3,4,3,343,10,Needs Attention,DEVIN,BROOKS,M,"$40,000 ",Skilled Manual
11165,2016-12-07,205,2,106.48,2,4,2,242,8,At Risk,JOCELYN,ALEXANDER,F,"$60,000 ",Skilled Manual
11166,2017-06-08,22,2,95.5942,5,4,2,542,11,Loyal Customers,ASHLEY,MARTINEZ,F,"$70,000 ",Skilled Manual
11167,2017-05-31,30,2,2880.4382,5,4,5,545,14,Champions,JASMINE,BARNES,F,"$80,000 ",Management
11168,2017-05-19,42,2,2942.8824,5,4,5,545,14,Champions,DAVID,RODRIGUEZ,M,"$80,000 ",Management
11169,2017-03-27,95,2,91.1842,4,4,2,442,10,Loyal Customers,BRYCE,RICHARDSON,M,"$90,000 ",Management
11170,2017-02-27,123,1,83.53999999999999,3,1,2,312,6,Needs Attention,CAROL,HOWARD,F,"$90,000 ",Management
11171,2017-05-10,51,3,6534.5882,5,5,5,555,15,Champions,JONATHAN,HILL,M,"$100,000 ",Management
11172,2016-11-04,238,1,45.6142,2,1,1,211,4,Lost Customers,GABRIELLE,ADAMS,F,"$100,000 ",Management
11173,2017-06-26,4,2,106.48,5,4,2,542,11,Loyal Customers,SARAH,THOMAS,F,"$110,000 ",Management
11174,2017-01-26,155,2,62.120000000000005,3,4,2,342,9,Needs Attention,NICHOLAS,ROBINSON,M,"$110,000 ",Management
11175,2017-05-06,55,3,6536.9096,4,5,5,455,14,Champions,LUIS,WANG,M,"$70,000 ",Skilled Manual
11176,2017-05-24,37,24,1526.0318,5,5,4,554,14,Champions,MASON,ROBERTS,M,"$90,000 ",Management
11177,2017-04-16,75,2,142.53,4,4,3,443,11,Loyal Customers,JOSE,FLORES,M,"$110,000 ",Management
11178,2016-11-27,215,2,152.9842,2,4,3,243,9,At Risk,NATHAN,JOHNSON,M,"$100,000 ",Management
11179,2016-09-13,290,1,93.93,1,1,2,112,4,Lost Customers,MOLLY,RODRIGUEZ,F,"$120,000 ",Management
11180,2017-03-28,94,2,168.6904,4,4,3,443,11,Loyal Customers,APRIL,ANAND,F,"$160,000 ",Management
11181,2017-01-12,169,2,49.26,3,4,1,341,8,Needs Attention,DEVIN,MARTIN,M,"$170,000 ",Management
11182,2017-03-01,121,1,49.56,3,1,1,311,5,Needs Attention,STEPHANIE,TORRES,F,"$70,000 ",Management
11183,2016-12-15,197,2,57.54,2,4,1,241,7,At Risk,JASMINE,LEE,F,"$70,000 ",Management
11184,2017-04-11,80,2,99.21,4,4,2,442,10,Loyal Customers,MEGHAN,HERNANDEZ,F,"$70,000 ",Management
11185,2017-06-15,15,25,1716.7586,5,5,4,554,14,Champions,ASHLEY,HENDERSON,F,"$70,000 ",Management
11186,2017-04-20,71,1,7.98,4,1,1,411,6,Potential Loyalists,SARAH,PRICE,F,"$70,000 ",Management
11187,2017-02-07,143,2,111.47,3,4,2,342,9,Needs Attention,JENNIFER,COOPER,F,"$60,000 ",Management
11188,2017-05-04,57,1,79.97,4,1,2,412,7,Potential Loyalists,CATHERINE,MORRIS,F,"$60,000 ",Management
11190,2017-03-01,121,1,8.57,3,1,1,311,5,Needs Attention,CARSON,BRYANT,M,"$70,000 ",Management
11191,2017-05-09,52,3,6508.298000000001,4,5,5,455,14,Champions,KRISTI,PEREZ,F,"$70,000 ",Management
11192,2017-03-28,94,2,121.2484,4,4,2,442,10,Loyal Customers,JAMES,BROWN,M,"$60,000 ",Management
11193,2017-02-19,131,2,47.56,3,4,1,341,8,Needs Attention,IAN,GRAY,M,"$60,000 ",Management
11194,2017-06-10,20,2,137.33620000000002,5,4,3,543,12,Loyal Customers,JACQUELINE,PRICE,F,"$60,000 ",Management
11195,2017-04-24,67,2,138.2804,4,4,3,443,11,Loyal Customers,MEGAN,HENDERSON,F,"$60,000 ",Management
11196,2017-03-27,95,2,169.56,4,4,3,443,11,Loyal Customers,ALFREDO,ROMERO,M,"$60,000 ",Management
11197,2017-01-21,160,2,216.13,3,4,3,343,10,Needs Attention,ANDREA,MORRIS,F,"$70,000 ",Management
11198,2016-08-17,317,2,123.7204,1,4,3,143,8,At Risk,BROOKE,SANDERS,F,"$70,000 ",Management
11199,2017-04-19,72,2,165.0,4,4,3,443,11,Loyal Customers,JACQUELINE,BENNETT,F,"$70,000 ",Management
11200,2017-06-20,10,25,1613.8803,5,5,4,554,14,Champions,JASON,GRIFFIN,M,"$70,000 ",Management
11201,2017-03-12,110,2,203.6415,4,4,3,443,11,Loyal Customers,AMANDA,FOSTER,F,"$70,000 ",Management
11202,2017-03-24,98,2,72.63419999999999,4,4,2,442,10,Loyal Customers,ALEXIA,PRICE,F,"$80,000 ",Management
11203,2017-06-13,17,17,1002.0515,5,5,3,553,13,Loyal Customers,LUIS,DIAZ,M,"$40,000 ",Professional
11205,2017-04-10,81,2,39.58,4,4,1,441,9,Loyal Customers,ABBY,FERNANDEZ,F,"$40,000 ",Professional
11206,2016-12-01,211,2,83.2042,2,4,2,242,8,At Risk,BLAKE,FLORES,M,"$60,000 ",Professional
11207,2017-04-20,71,2,88.1942,4,4,2,442,10,Loyal Customers,DANIELLE,COX,F,"$60,000 ",Professional
11208,2017-03-20,102,2,158.78,4,4,3,443,11,Loyal Customers,MARIA,REED,F,"$60,000 ",Management
11209,2016-09-26,277,1,2.29,1,1,1,111,3,Lost Customers,ALLISON,EVANS,F,"$60,000 ",Management
11210,2017-03-09,113,2,104.6362,3,4,2,342,9,Needs Attention,EDWARD,WOOD,M,"$70,000 ",Professional
11211,2017-06-03,27,16,947.9645,5,5,3,553,13,Loyal Customers,SAMANTHA,RUSSELL,F,"$40,000 ",Professional
11212,2017-06-15,15,15,969.7831,5,5,3,553,13,Loyal Customers,CHLOE,CAMPBELL,F,"$40,000 ",Professional
11213,2017-03-12,110,2,84.55000000000001,4,4,2,442,10,Loyal Customers,STEPHANIE,MURPHY,F,"$60,000 ",Professional
11214,2017-05-22,39,2,171.85,5,4,3,543,12,Loyal Customers,CHARLES,MILLER,M,"$60,000 ",Professional
11215,2017-06-17,13,17,1335.8495,5,5,4,554,14,Champions,ANA,PERRY,F,"$40,000 ",Skilled Manual
11216,2016-08-09,325,2,5707.3382,1,4,5,145,10,At Risk,JASMINE,TORRES,F,"$60,000 ",Professional
11217,2016-08-18,316,2,5704.6796,1,4,5,145,10,At Risk,NATALIE,ADAMS,F,"$60,000 ",Professional
11218,2016-09-01,302,1,4.58,1,1,1,111,3,Lost Customers,OLIVIA,BROWN,F,"$60,000 ",Professional
11219,2017-05-01,60,1,39.58,4,1,1,411,6,Potential Loyalists,CHARLES,COOK,M,"$60,000 ",Professional
11220,2017-06-15,15,2,67.75,5,4,2,542,11,Loyal Customers,ERICA,HUANG,F,"$60,000 ",Professional
11221,2017-04-19,72,2,53.55,4,4,1,441,9,Loyal Customers,NATHAN,PERRY,M,"$70,000 ",Professional
11222,2017-05-31,30,2,223.89260000000002,5,4,3,543,12,Loyal Customers,ALEXANDRA,RIVERA,F,"$80,000 ",Management
11223,2017-06-14,16,26,1615.6584,5,5,4,554,14,Champions,HAILEY,PATTERSON,F,"$70,000 ",Professional
11224,2017-06-05,25,3,6438.3524,5,5,5,555,15,Champions,TIFFANY,LI,F,"$70,000 ",Professional
